No,First Name,Last Name,Gender,Start Date,Years,Department,Country,Center,Monthly Salary,Annual Salary,Job Rate,Sick Leaves,Unpaid Leaves,Overtime Hours
254,Danah,Almahdi,Female,06-07-2016,8,Environmental Compliance,Egypt,North,1837,22044,3,1,0,2
255,Muhamad,Sakar,Male,21-09-2019,5,Training,Saudi Arabia,Main,3109,37308,3,1,0,9
256,Lama,Yasin,Female,31-05-2020,4,Manufacturing,Egypt,Main,2832,33984,5,1,0,5
257,Asf,Abultif,Male,01-01-2019,6,Manufacturing,Egypt,Main,2940,35280,1,6,4,7
258,Ahmad,Alshalaq,Male,05-04-2019,6,Product Development,Syria,North,983,11796,5,0,0,13
259,Mazin,Zawal,Male,20-04-2020,4,IT,Egypt,North,1223,14676,1,6,0,10
260,Diana,Aleabd,Female,13-07-2020,4,Research/Development,Egypt,North,833,9996,1,1,0,5
261,Kawkab,Qarqazan,Female,10-05-2018,6,Quality Control,Egypt,West,2074,24888,3,1,0,2
262,Thamir,Abu Ghazy,Male,12-03-2018,7,Quality Control,United Arab Emirates,South,2811,33732,3,0,1,9
263,Muhamad,Alabth,Male,23-09-2019,5,Quality Control,Saudi Arabia,North,1436,17232,4.5,3,4,4
264,Khadijah,Abu Taqih,Female,01-07-2019,5,Manufacturing,Egypt,North,1041,12492,2,2,0,5
265,Salwaa,Alsyd,Female,15-06-2018,6,Quality Control,Egypt,Main,2231,26772,3,0,0,87
266,Muayid,Shbyb,Male,16-02-2019,6,Marketing,United Arab Emirates,West,1036,12432,3,0,0,1
267,Rannym,Tyru,Female,15-10-2020,4,Quality Control,Egypt,North,2143,25716,5,0,0,45
268,Iin,Alhaju Bikr,Female,07-01-2020,5,Quality Assurance,United Arab Emirates,South,967,11604,5,0,4,9
269,Jihad,Aldukifi,Male,16-07-2020,4,Product Development,Egypt,South,2510,30120,1,0,0,3
270,Sandurana,Antun,Female,31-03-2019,6,Marketing,Egypt,Main,3364,40368,2,0,0,1
271,Eala,Darkzifli,Female,06-01-2019,6,Quality Assurance,Egypt,West,3420,41040,5,6,0,10
272,Samir,Alsaeid,Male,14-09-2019,5,Creative,United Arab Emirates,South,2229,26748,3,3,0,1
273,Amir,Alhifar,Male,27-05-2020,4,Creative,Egypt,West,1910,22920,5,2,0,5
274,Lama,Almala,Female,07-08-2019,5,Training,Egypt,North,1917,23004,4.5,0,1,84
275,Hasan,Kalthum,Male,20-12-2018,6,Quality Control,Egypt,North,831,9972,1,1,2,7
276,Muhamad,Saeadat,Male,06-07-2019,5,Quality Control,United Arab Emirates,Main,2636,31632,4.5,0,2,4
277,Rana,Eijrush,Female,05-09-2018,6,Account Management,Syria,Main,2929,35148,2,0,1,4
278,Tariq,Alkinaya,Male,26-10-2019,5,Quality Control,Egypt,North,1255,15060,1,6,0,15
279,Amjad,Alrz,Male,12-04-2020,5,Quality Control,United Arab Emirates,Main,2210,26520,3,0,0,13
280,Daniah,Alhariri,Female,15-10-2019,5,Quality Control,Egypt,North,1788,21456,5,1,0,9
281,Hasan,Quidr,Male,30-04-2020,4,Quality Control,Egypt,North,2488,29856,5,0,5,3
282,Muhamad,Shaykh Janid,Male,18-04-2020,4,Manufacturing,Egypt,North,2187,26244,5,1,3,2
283,Esamat,Zaza,Male,12-05-2020,4,Quality Control,Egypt,Main,1366,16392,2,0,0,13
284,Fadi,Hububati,Male,06-05-2019,5,Quality Assurance,Egypt,West,2612,31344,5,0,0,8
285,Adnan,Alhusayn,Male,09-04-2018,7,Account Management,United Arab Emirates,Main,2246,26952,5,0,0,8
286,Muhamad,Allibad,Male,26-07-2018,6,Quality Control,Egypt,Main,2761,33132,5,0,2,5
287,Tana,Dahruj,Female,01-12-2019,5,Creative,Egypt,Main,1536,18432,4.5,0,0,76
288,Muhamad,Almtlq,Male,10-11-2016,8,Professional Training Group,Saudi Arabia,South,2180,26160,4.5,0,0,80
289,Sana,Alhusayn,Female,23-12-2019,5,Account Management,Egypt,Main,3412,40944,5,2,0,3
290,Muhamad,Bdraldyn,Male,30-05-2018,6,Facilities/Engineering,Egypt,Main,2546,30552,4.5,0,0,6
291,Muhamad,Eataya,Male,27-12-2017,7,Research/Development,Egypt,North,1856,22272,5,0,0,0
292,Fadi,Aljizamati,Male,02-06-2019,5,Product Development,Egypt,Main,3220,38640,5,6,0,3
293,Alaa,Alqasir,Male,13-04-2016,9,Manufacturing,Saudi Arabia,Main,3061,36732,5,0,0,3
294,Abd Alruhmin,Salih,Male,26-08-2017,7,Training,Saudi Arabia,North,2221,26652,2,0,0,1
295,Shilan,Ahmad,Female,27-04-2017,7,Quality Control,Saudi Arabia,South,1799,21588,4.5,2,0,6
296,Hasan,Aljasim,Male,24-05-2017,7,Account Management,Egypt,South,2082,24984,3,0,0,1
297,Khalil,Salam,Male,23-08-2016,8,Creative,United Arab Emirates,North,1490,17880,4.5,0,2,6
298,Majd,Abuhamd,Female,15-03-2020,5,Account Management,United Arab Emirates,North,2042,24504,4.5,0,0,10
299,Sami,Qareush,Male,02-05-2016,8,Marketing,Syria,Main,985,11820,5,1,0,5
300,Rima,Jaridiun,Female,05-05-2017,7,Sales,Egypt,North,1988,23856,3,0,0,7
301,Iin,Alhumwi,Female,05-07-2018,6,Account Management,Saudi Arabia,South,1545,18540,5,1,0,1
302,Akthum,Eibdalbaqi,Male,04-07-2020,4,Training,Egypt,Main,2637,31644,5,0,0,50
303,Muhamad,Almurashihi,Male,11-12-2019,5,Manufacturing,Saudi Arabia,North,1385,16620,4.5,0,0,6
304,Batual,Abu Fakhar,Female,05-02-2018,7,Manufacturing,United Arab Emirates,South,2468,29616,1,4,0,3
305,Rinah,Alkhuriu,Female,29-06-2018,6,Professional Training Group,Syria,Main,2098,25176,4.5,0,0,3
306,Muhamad,Alsaqaraq,Male,22-05-2019,5,Marketing,United Arab Emirates,Main,2302,27624,3,6,0,6
307,Diea,Sharina,Male,10-04-2019,6,Facilities/Engineering,Egypt,Main,1623,19476,1,6,0,4
308,Jablah,Alsulayman,Female,13-03-2019,6,Quality Assurance,Lebanon,Main,1333,15996,3,1,6,10
309,Muhamad,Almaghribiu,Male,18-11-2016,8,Quality Control,United Arab Emirates,Main,1431,17172,5,0,0,4
310,Kholoud,Khayti,Female,24-12-2019,5,Manufacturing,Egypt,West,2527,30324,3,0,0,98
311,Rahaf,Jamul,Female,06-02-2017,8,Manufacturing,Egypt,South,2631,31572,3,0,0,7
312,Faras,Alrahil,Male,12-03-2018,7,Marketing,Egypt,West,1600,19200,4.5,0,0,0
313,Abd Alrazzaq,Gharah,Male,16-12-2020,4,Environmental Compliance,Egypt,Main,2752,33024,5,0,0,4
314,Alaa,Saed,Female,16-06-2020,4,Quality Control,Egypt,Main,3125,37500,5,0,0,5
315,Lylas,Shiah,Female,02-07-2019,5,IT,Saudi Arabia,West,2091,25092,2,0,1,9
316,Kinda,Alaqre,Female,22-12-2016,8,Marketing,United Arab Emirates,Main,1009,12108,4.5,0,0,17
317,Muhamad,Almisri,Male,11-10-2020,4,Quality Control,Saudi Arabia,Main,3443,41316,1,0,0,1
318,Dinana,Zaydan,Female,23-03-2018,7,Manufacturing,Syria,West,1582,18984,4.5,0,0,5
319,Amyrah,Mudinih,Female,04-03-2019,6,Marketing,United Arab Emirates,North,2103,25236,5,1,1,2
320,Safa,AlAhmar,Female,06-01-2018,7,Environmental Compliance,Egypt,Main,3108,37296,1,0,0,45
321,Ahmad,Eurman,Male,19-08-2016,8,Manufacturing,Egypt,Main,1810,21720,3,0,0,5
322,Abd Allah,Almawsiliu,Male,10-08-2018,6,Creative,Saudi Arabia,West,2312,27744,3,3,0,10
323,Majd,Eisaa,Female,11-06-2020,4,Facilities/Engineering,Egypt,Main,2783,33396,1,2,0,15
324,Muhamad,Salhany,Male,02-12-2020,4,Quality Control,Egypt,Main,3428,41136,3,5,0,10
325,Ashraf,Aleid,Male,05-02-2018,7,Account Management,Egypt,North,3450,41400,2,0,4,9
326,Muhamad,Shadi Alghazy,Male,19-09-2018,6,Research Center,United Arab Emirates,Main,1226,14712,2,6,5,4
327,Muhamad,Husayn,Male,30-08-2019,5,Quality Assurance,Egypt,North,3219,38628,3,0,0,5
328,Mazin,Bytar,Male,19-04-2019,5,Quality Control,Saudi Arabia,Main,2060,24720,5,0,0,14
329,Iin,Farahat,Female,18-01-2019,6,IT,Syria,Main,2479,29748,5,0,2,3
330,Lama,Albazir,Female,28-05-2018,6,Product Development,United Arab Emirates,Main,2106,25272,3,0,0,9
331,Emar,Alnisrin,Female,07-06-2019,5,Manufacturing,Saudi Arabia,South,1480,17760,2,0,0,10
332,Afra,Sharabi,Female,19-11-2017,7,Manufacturing,Egypt,West,994,11928,1,0,0,9
333,Ahmad,Hamuwd,Male,28-11-2019,5,Facilities/Engineering,United Arab Emirates,Main,2119,25428,4.5,1,5,0
334,Ramiz,Aleuryan,Male,05-10-2018,6,IT,Egypt,Main,1577,18924,4.5,0,0,7
335,Iad,Eaku,Male,04-05-2018,6,Quality Control,United Arab Emirates,Main,3160,37920,5,0,5,10
336,Husayn,Euthman,Male,19-10-2020,4,Professional Training Group,Saudi Arabia,Main,2692,32304,1,4,0,6
337,Imran,Hazruma,Male,26-11-2018,6,Account Management,United Arab Emirates,South,1448,17376,4.5,0,0,1
338,Rawan,Durkzili,Female,17-03-2019,6,Manufacturing,Egypt,West,1568,18816,3,5,0,7
339,Muayid,Shaqir,Male,20-12-2016,8,Facilities/Engineering,Egypt,North,1823,21876,4.5,5,0,9
340,Muanis,Alsabagh,Male,16-02-2019,6,Manufacturing,Egypt,West,1712,20544,4.5,0,4,15
341,Dijwar,Husu,Male,30-10-2020,4,Product Development,United Arab Emirates,South,744,8928,5,5,0,8
342,Asama,Eilwan,Female,29-07-2017,7,Manufacturing,Egypt,North,2972,35664,5,0,4,2
343,Esamat,Alhidad,Male,16-11-2019,5,Account Management,Egypt,North,2931,35172,3,6,0,71
344,Tariq,Zaeur,Male,20-07-2018,6,Creative,Syria,West,2544,30528,3,0,0,2
345,Rasul,Aleumurii,Male,23-08-2016,8,Manufacturing,Saudi Arabia,Main,1595,19140,5,0,0,0
346,Rawan,Albaytar,Female,05-12-2018,6,Account Management,Syria,West,1326,15912,3,0,3,7
347,Omar,Altuean,Male,27-01-2019,6,Marketing,Egypt,Main,3117,37404,3,0,4,0
348,Dalia,Hamdan,Female,11-02-2019,6,Major Mfg Projects,Egypt,West,3446,41352,5,0,0,10
349,Omar,Alhindi,Male,11-01-2019,6,Manufacturing,United Arab Emirates,West,2023,24276,4.5,6,0,6
350,Ali,Zyny,Male,01-08-2020,4,Quality Assurance,Egypt,North,979,11748,3,6,0,4
351,Almuetaz,Biallah,Male,21-08-2020,4,Environmental Health/Safety,Egypt,Main,1676,20112,4.5,0,0,8
352,Rabana,Alsaman,Female,12-01-2017,8,Sales,Egypt,North,3079,36948,3,0,0,2
353,Ghada,Khalid,Female,29-07-2019,5,IT,Egypt,Main,2164,25968,3,0,2,0
354,Esamat,Alriys,Male,11-11-2020,4,Manufacturing,Egypt,Main,2312,27744,3,0,0,31
355,Amir,Alkhatib,Male,27-08-2017,7,Account Management,Egypt,West,834,10008,2,6,0,13
356,Samirah,Jumea,Female,15-01-2019,6,Quality Control,Egypt,Main,723,8676,3,0,0,10
357,Samir,Alhaj Ali,Male,14-05-2016,8,Quality Assurance,Egypt,West,2807,33684,3,5,1,2
358,Farial,Qulumih,Female,18-06-2017,7,Marketing,Saudi Arabia,North,1002,12024,5,1,0,3
359,Salih,Dawara,Male,11-07-2020,4,Creative,Egypt,West,2265,27180,5,1,0,9
360,Abdalhadi,Salim,Male,15-10-2019,5,Quality Control,Egypt,North,3283,39396,5,0,0,3
361,Ruaa,Qahraman,Female,14-04-2018,7,Quality Assurance,Egypt,North,2675,32100,3,1,6,4
362,Muhamad,Mshati,Male,16-01-2019,6,Marketing,United Arab Emirates,Main,3056,36672,4.5,0,0,9
363,Shadi,Altibae,Male,14-10-2019,5,Manufacturing,Egypt,West,1579,18948,3,0,0,14
364,Ahmad,Iidlibi,Male,06-06-2019,5,Marketing,Saudi Arabia,East,1255,15060,3,6,0,0
365,Fadi,Ghazzawi,Male,31-01-2019,6,Quality Control,Egypt,East,3418,41016,3,4,0,1
366,Basil,Eabd Aleal,Male,30-11-2020,4,Marketing,Egypt,East,3368,40416,3,0,0,8
367,Sali,Musuh,Female,15-11-2019,5,Green Building,United Arab Emirates,North,3275,39300,3,1,2,12
368,Alaa,Iismaeil,Female,27-12-2020,4,IT,United Arab Emirates,West,3043,36516,2,0,0,8
369,Maria,Alhizae,Female,04-12-2019,5,Creative,Lebanon,North,1122,13464,4.5,2,4,7
370,Ghazal,Alghan,Female,24-03-2018,7,Manufacturing,Egypt,Main,764,9168,5,4,1,13
371,Eala,Mitri,Female,02-02-2019,6,Account Management,Saudi Arabia,North,2879,34548,2,0,0,8
372,Muhamad,Aleliwi,Male,25-02-2020,5,Manufacturing,United Arab Emirates,West,2252,27024,3,1,0,50
373,Ahmad,Almisri,Male,09-11-2018,6,Product Development,United Arab Emirates,South,2149,25788,3,0,0,1
374,Ahmad,Aldwltali,Male,08-11-2019,5,Human Resources,United Arab Emirates,Main,2428,29136,5,0,0,35
375,Muhamad,Udib,Male,12-10-2019,5,Manufacturing,Egypt,Main,3240,38880,5,0,0,6
376,Alaa,Yuzbik,Female,11-03-2018,7,Account Management,Egypt,East,1448,17376,3,4,0,10
377,Husayn,Zaerur,Male,01-08-2020,4,Manufacturing,Egypt,East,2409,28908,3,3,3,3
378,Saeid,Mazlum,Male,03-10-2019,5,Professional Training Group,United Arab Emirates,South,3030,36360,2,6,0,5
379,Ahmad,Alghurani,Male,18-09-2020,4,Manufacturing,United Arab Emirates,North,2544,30528,5,0,0,11
380,Abd Alsamad,Ahmad,Male,12-02-2017,8,Facilities/Engineering,Egypt,West,2872,34464,4.5,5,0,7
381,Amir,Alhasan,Male,03-01-2019,6,Product Development,Egypt,South,2263,27156,4.5,0,0,8
382,Alaa,Altahhan,Female,27-08-2019,5,Quality Control,United Arab Emirates,East,2136,25632,5,4,0,12
383,Iad,Mahfud,Male,24-07-2017,7,Manufacturing,Egypt,Main,2379,28548,4.5,1,0,10
384,Sarah,Damrani,Female,24-07-2020,4,Account Management,Egypt,North,1940,23280,3,4,6,5
385,Husam,Aldubus,Male,18-05-2019,5,Facilities/Engineering,Egypt,Main,1558,18696,2,0,6,9
386,Ahmad,Zynu,Male,08-04-2019,6,IT,Egypt,North,1341,16092,5,3,0,8
387,Lwy,Abu,Male,11-04-2019,6,Manufacturing,Egypt,Main,1703,20436,5,2,0,10
388,Tariq,Shams,Male,20-07-2020,4,Professional Training Group,Egypt,North,3282,39384,1,0,0,2
389,Muhamad,Khalil,Male,05-03-2020,5,Sales,Egypt,West,3125,37500,2,6,3,0
390,Amal,Alhusayn,Female,07-05-2020,4,Account Management,United Arab Emirates,West,2232,26784,4.5,0,0,7
391,Fadi,Shakur,Male,29-03-2017,8,Quality Assurance,Syria,Main,2513,30156,4.5,2,0,8
392,Abdalhai,Sarhan,Male,22-02-2017,8,Facilities/Engineering,Syria,South,2818,33816,2,4,0,8
393,Ahmad,Alqadi,Male,20-05-2018,6,Quality Assurance,Egypt,North,2257,27084,3,0,0,6
394,Husam,Albush,Male,23-04-2020,4,Account Management,Egypt,Main,1265,15180,3,0,0,5
395,Anas,Eabidin,Male,26-10-2020,4,Manufacturing Admin,United Arab Emirates,Main,2207,26484,3,2,0,0
396,Muhamad,Ebdalwahd,Male,04-02-2019,6,Marketing,Egypt,North,2806,33672,3,0,0,4
397,Khalid,Iibrahim,Male,15-02-2017,8,Environmental Health/Safety,United Arab Emirates,South,1521,18252,5,6,0,3
398,Muhamad,Aleazm,Male,07-04-2018,7,Facilities/Engineering,Egypt,South,1867,22404,3,0,0,0
399,Maya,Alhmwi,Female,10-12-2018,6,Quality Control,Saudi Arabia,North,2425,29100,5,0,0,10
400,Basil,Khiat,Male,14-12-2020,4,Marketing,Saudi Arabia,Main,1758,21096,5,0,0,0
401,Muhamad,Zaydan,Male,26-12-2020,4,Manufacturing,Syria,East,2832,33984,3,0,0,1
402,Randa,Alajw,Female,24-05-2017,7,Marketing,Egypt,North,1371,16452,1,1,0,8
403,Muhamad,Alghazi,Male,27-12-2018,6,Marketing,Egypt,East,2904,34848,5,6,0,3
404,Rahaf,Eijluni,Female,16-02-2019,6,Product Development,Lebanon,Main,3285,39420,3,2,0,0
405,Sultan,Alhijar,Male,09-07-2018,6,Facilities/Engineering,Egypt,West,2964,35568,5,2,0,45
406,Asma,Sadqawi,Female,05-04-2018,7,Account Management,United Arab Emirates,North,974,11688,2,5,0,5
407,Fulla,Alkhalid,Female,24-04-2019,5,Account Management,Saudi Arabia,East,2607,31284,4.5,0,0,9
408,Lujin,Alaleppoy,Female,20-09-2017,7,Quality Control,Egypt,Main,1550,18600,1,0,0,3
409,Jihan,Alqudmani,Female,23-07-2016,8,Sales,Egypt,Main,1631,19572,4.5,0,0,4
410,Anwar,Alkhayran,Male,10-02-2019,6,Marketing,Egypt,East,3003,36036,1,6,1,6
411,Qasim,Muhamad,Male,01-12-2019,5,Manufacturing,Egypt,West,913,10956,5,0,0,12
412,Samir,Altaynawi,Male,18-07-2017,7,Facilities/Engineering,Egypt,South,2076,24912,3,0,0,4
413,Alaa,Hafiz,Female,26-06-2020,4,Facilities/Engineering,Egypt,West,2749,32988,3,5,4,0
414,Kamilia,Sydu,Female,25-01-2019,6,IT,Saudi Arabia,West,2617,31404,4.5,1,0,5
415,Ali,Marwan,Male,20-08-2019,5,IT,United Arab Emirates,North,1680,20160,5,1,0,35
416,Mahir,Almarstani,Male,09-03-2020,5,Green Building,Egypt,Main,2824,33888,3,3,0,3
417,Rwad,Alddahir,Female,26-09-2017,7,Product Development,Egypt,West,1646,19752,5,0,0,7
418,Jury,Eabuwd,Female,04-12-2018,6,Quality Control,Egypt,South,979,11748,5,5,0,8
419,Sayban,Musur,Female,02-01-2019,6,Quality Assurance,Syria,West,1274,15288,3,0,0,7
420,Diana,Muayid,Female,27-10-2019,5,Facilities/Engineering,Egypt,North,2715,32580,2,0,0,3
421,Lbyb,Fahd,Male,12-11-2019,5,Manufacturing,Syria,North,1158,13896,5,0,0,0
422,Bashshar,Bilul,Male,02-08-2018,6,Marketing,Egypt,East,1986,23832,3,1,0,14
423,Ali,Alnuwri,Male,27-12-2019,5,Manufacturing,Saudi Arabia,South,3299,39588,5,1,0,0
424,Salim,Aleabd,Male,23-11-2017,7,Quality Control,Egypt,Main,2405,28860,5,0,0,97
425,Abd Alruhmin,Allaham,Male,15-07-2020,4,Facilities/Engineering,Egypt,North,2205,26460,3,0,0,4
426,Muhamad,Raft,Male,11-07-2016,8,Manufacturing,Egypt,East,2651,31812,3,0,0,6
427,Ahmad,Shakir,Male,30-05-2019,5,Account Management,Egypt,North,1693,20316,4.5,2,5,6
428,Rasha,Asead,Female,22-12-2019,5,Sales,Egypt,Main,1690,20280,1,0,0,6
429,Omar,Alwurhani,Male,03-02-2019,6,Account Management,Egypt,Main,766,9192,3,0,0,5
430,Ayham,Kharbutli,Male,15-07-2019,5,Research/Development,Egypt,South,2542,30504,3,1,0,3
431,Sahar,Jaridiun,Female,11-10-2016,8,Professional Training Group,United Arab Emirates,East,1966,23592,4.5,0,0,8
432,Muhamad,Tamur,Male,06-07-2019,5,Manufacturing,Egypt,Main,2977,35724,4.5,0,0,8
433,Ayham,Alkhlf,Male,04-11-2017,7,Quality Assurance,United Arab Emirates,Main,1404,16848,1,5,0,10
434,Emar,Eisaf,Female,05-02-2018,7,Quality Control,Syria,North,1848,22176,3,0,0,2
435,Iin,Bitahish,Female,08-09-2020,4,Manufacturing,Egypt,North,2069,24828,3,2,5,6
436,Abdalrhim,Eimaruh,Male,18-10-2020,4,Quality Assurance,Saudi Arabia,North,1072,12864,4.5,0,0,6
437,Bashaer,Hadalah,Female,14-12-2019,5,Product Development,Egypt,Main,1984,23808,1,1,0,8
438,Sana,Maeruf,Female,21-08-2020,4,Account Management,Egypt,North,999,11988,1,5,0,61
439,Amir,Alnuwnu,Male,15-05-2020,4,Quality Control,Syria,West,2915,34980,3,0,0,5
440,Salim,Albarghali,Male,01-11-2019,5,Facilities/Engineering,Egypt,East,3158,37896,4.5,3,0,7
441,Iin,Murad,Female,30-08-2017,7,IT,Egypt,North,711,8532,5,0,0,10
442,Baha Aldiyn,Marzuq,Male,05-04-2018,7,Quality Control,Saudi Arabia,West,899,10788,5,6,0,38
443,Abd Alruhmin,Hamj,Male,10-03-2020,5,Account Management,Egypt,Main,2571,30852,3,1,0,6
444,Ahmad,Bradey,Male,14-06-2018,6,Quality Control,Egypt,East,2437,29244,5,0,4,8
445,Sabah,Qadish,Female,18-03-2019,6,Manufacturing,Egypt,East,2453,29436,5,1,0,6
446,Asra,Almisri,Female,28-06-2018,6,Manufacturing,Egypt,East,1839,22068,5,1,0,9
447,Faras,Kawaara,Male,21-02-2017,8,Quality Control,United Arab Emirates,West,2306,27672,1,6,0,7
448,Muhamad,Abunfis,Male,18-06-2018,6,Product Development,Syria,Main,970,11640,1,0,0,5
449,Lawiy,Shiah,Male,04-05-2018,6,Quality Assurance,Egypt,North,3140,37680,3,6,1,5
450,Rama,Alsaghir,Female,10-04-2017,8,Professional Training Group,Egypt,Main,1176,14112,5,2,0,6
451,Ahmad,Qadimati,Male,21-08-2019,5,Facilities/Engineering,United Arab Emirates,East,2742,32904,5,0,0,9
452,Qays,Dahna,Male,18-09-2017,7,Quality Control,Egypt,West,734,8808,3,0,0,0
453,Raja,Eaziza,Male,02-02-2018,7,Manufacturing,Syria,Main,894,10728,3,6,0,93
454,Emar,Nakaash,Female,09-11-2020,4,Account Management,Saudi Arabia,East,2640,31680,4.5,1,5,4
455,Ranya,Khuluf,Female,01-02-2019,6,Manufacturing,Egypt,North,1059,12708,2,0,0,14
456,Kinda,Zaki,Female,09-06-2018,6,Product Development,Lebanon,North,3337,40044,3,0,2,6
457,Muhamad,Asamh Tubae,Male,20-08-2020,4,Quality Assurance,Egypt,North,3154,37848,3,0,0,6
458,Ahmad,Daeas,Male,12-02-2019,6,Facilities/Engineering,Egypt,Main,1618,19416,3,1,0,1
459,Muhamad,Shadi Alkhiat,Male,20-02-2017,8,Quality Assurance,United Arab Emirates,Main,1248,14976,5,0,6,7
460,Omaimah,Tqi Aldiyn,Female,31-08-2017,7,Quality Assurance,Egypt,South,1523,18276,3,6,5,4
461,Tahani,Yasir,Female,10-01-2019,6,Manufacturing,Egypt,North,1275,15300,4.5,3,0,9
462,Hasan,Alfywmi,Male,07-01-2019,6,Account Management,Syria,North,1549,18588,3,2,0,5
463,Zahir,Zarie,Male,02-06-2019,5,Professional Training Group,Saudi Arabia,East,1786,21432,3,4,4,1
464,Muhamad,Eaqad,Male,02-04-2019,6,Quality Assurance,Saudi Arabia,Main,1908,22896,1,0,5,7
465,Ahmad,Hamuwd,Male,29-05-2018,6,Facilities/Engineering,United Arab Emirates,North,2321,27852,5,0,0,6
466,Ismaeil,Jdwe,Male,05-10-2020,4,Facilities/Engineering,United Arab Emirates,Main,899,10788,1,4,0,27
467,Muhamad,Saeid Alzarey,Male,23-12-2019,5,Professional Training Group,Egypt,North,1168,14016,5,0,0,8
468,Bakr,Eubdallah,Male,04-04-2018,7,Environmental Compliance,Egypt,Main,2169,26028,1,4,0,2
469,Muhamad,Basil,Male,10-03-2020,5,Human Resources,Lebanon,Main,2819,33828,4.5,5,0,51
470,Ahmad,Alnajar,Male,30-10-2018,6,IT,United Arab Emirates,North,847,10164,3,0,0,3
471,Muhamad,Alsaman,Male,10-03-2020,5,Account Management,Egypt,West,2308,27696,2,0,0,13
472,Lina,Wayly,Female,01-12-2018,6,Manufacturing,Egypt,East,1692,20304,4.5,4,0,6
473,Raghid,Hutayniun,Male,28-02-2018,7,Quality Assurance,Egypt,Main,1372,16464,1,0,0,4
474,Ruba,Alsiraj,Female,01-06-2019,5,Account Management,Egypt,East,2594,31128,3,5,0,0
475,Adnan,Allaadhiqanii,Male,17-05-2018,6,Quality Control,Egypt,North,1082,12984,5,1,4,8
476,Muhamad,Shaeban,Male,09-11-2018,6,Manufacturing,Egypt,West,1929,23148,5,3,0,43
477,Ghyath,Abu,Male,12-09-2019,5,Manufacturing,Saudi Arabia,Main,1883,22596,3,3,0,3
478,Basil,Farahat,Male,09-05-2019,5,Account Management,United Arab Emirates,West,874,10488,3,0,0,7
479,Khalid,Siriul,Male,21-08-2016,8,Quality Control,Saudi Arabia,West,2780,33360,3,3,0,2
480,Salah Aldiyn,Salayk,Male,02-01-2020,5,IT,Syria,South,1980,23760,2,3,0,0
481,Bilal,Einziin,Male,02-01-2020,5,Major Mfg Projects,Syria,Main,2611,31332,5,4,0,9
482,Abdalrhmin,Aljuju,Male,10-02-2018,7,Human Resources,Syria,East,1881,22572,5,1,0,1
483,Lawy,Nadaf,Male,09-06-2016,8,Manufacturing,Egypt,West,1517,18204,5,4,0,6
484,Ali,Muhamad,Male,26-12-2019,5,Product Development,Egypt,West,1459,17508,4.5,0,0,10
485,Mahir,Bikar,Male,23-10-2019,5,Professional Training Group,Saudi Arabia,Main,2383,28596,3,0,0,0
486,Iad,Alhusayn,Male,09-03-2018,7,Quality Assurance,Egypt,South,1420,17040,5,2,6,7
487,Husam,Ziada,Male,15-09-2018,6,Major Mfg Projects,Egypt,North,1382,16584,4.5,0,1,14
488,Ahmad,Eashur,Male,23-09-2020,4,IT,United Arab Emirates,West,1920,23040,5,0,5,1
489,Ahmad,Naqawuh,Male,17-09-2020,4,Quality Assurance,Egypt,North,1202,14424,4.5,0,0,92
490,Tamadur,Barghuth,Female,25-02-2018,7,Marketing,Saudi Arabia,West,1158,13896,5,0,0,7
491,Diea,Jazar,Male,20-01-2020,5,Quality Control,Egypt,North,1447,17364,3,0,0,7
492,Bashshar,Mareiun,Male,23-09-2019,5,Sales,Saudi Arabia,East,1598,19176,3,0,0,95
493,Abdaleziz,Eiwad,Male,23-05-2020,4,Quality Assurance,United Arab Emirates,East,1714,20568,5,6,0,11
494,Amir,Alkhawam,Male,30-10-2017,7,Environmental Compliance,United Arab Emirates,West,2994,35928,4.5,1,0,4
495,Alia,Maseud,Male,08-01-2020,5,Manufacturing,Saudi Arabia,East,2125,25500,4.5,6,0,6
496,Asra,Abuhani,Female,28-01-2019,6,Quality Assurance,Egypt,Main,3059,36708,4.5,5,0,9
497,Ahmad,Alshamy,Male,17-01-2019,6,Account Management,United Arab Emirates,Main,2077,24924,5,6,0,4
498,Baha,Eusqul,Male,08-09-2018,6,Manufacturing,Egypt,West,1962,23544,4.5,6,0,10
499,Muhamad,Hylmyh,Male,15-05-2019,5,IT,Egypt,North,1573,18876,3,6,0,2
500,Khadijah,Turkamani,Female,26-06-2019,5,Account Management,Saudi Arabia,North,882,10584,5,0,0,8
501,Asra,Jameah,Female,25-10-2018,6,Manufacturing,Egypt,West,1036,12432,5,0,6,2
502,Akram,Alhulwanii,Male,12-01-2016,9,IT,Egypt,East,2790,33480,1,1,0,8
503,Samir,Almisri,Male,16-08-2019,5,Manufacturing,Egypt,Main,1951,23412,4.5,1,0,8
504,Ahmad,Iidris,Male,08-07-2018,6,Quality Control,Egypt,Main,2255,27060,5,0,4,10
505,Khawla,Dawi,Female,17-06-2017,7,Creative,Egypt,East,3388,40656,3,3,0,0
506,Rayid,Zazana,Male,19-10-2020,4,Marketing,Egypt,West,707,8484,2,1,0,9
507,Razan,Iybw,Female,14-06-2020,4,Environmental Compliance,Egypt,Main,1161,13932,5,0,0,9
508,Jamil,Ghabur,Male,17-04-2019,6,Quality Control,United Arab Emirates,Main,1165,13980,5,0,0,9
